Device, number of telnet, number of http, number of https, port 8081, port 8080, port 21, port 137, number of samba, number of netbios
webcam, 5690, 5, 244, 252, 1302, 2019, 24, 1, 30
TP-Link, 831973, 89, 201665, 583, 11013, 204846, 2971, 3, 8
axis, 17890, 291, 72, 150, 857, 0, 13163, 19, 24
D-Link, 410709, 3648, 4495, 11602, 12955, 1145, 55, 44, 30
Dericam, 84, 0, 0, 8, 31, 0, 0, 0, 0
Panasonic, 22227, 32, 3609, 61, 409, 12, 11, 4, 5
linksys, 23087, 81, 3948, 2367, 785, 7614, 417, 268, 7
Asus, 79053, 182, 545, 63, 2368, 624, 73425, 968, 72
Tenda, 5302, 1, 1622, 1, 7, 40, 710, 4, 1
Amazon Echo, 31, 0, 0, 3, 9, 0, 0, 0, 0
printer, 136031, 128, 594, 227, 150, 224, 373, 44, 43787
Brother, 14108, 6, 16, 54, 15, 1, 28, 131, 274
Unable to parse JSON response
HP LaserJet, 24448, 0, 0, 9, 83, 0, 2031, 0, 725
Canon, 20258, 5, 6251, 4434, 266, 107, 184, 23, 398
Epson, 11365, 33, 1938, 839, 20, 12, 7, 5, 477
